"Adrian Blake",,,,
"Adrian Walker-Smith",,,,
"Alan Lomas",,,,
"Arthur William Clifford",,,,
"B.J. Marshall",,,,
"Caroline Stephens",,,,
"Cecil Edwin Fitch",,,,
"Charles Wye Kendall",,,,
"Clement McNair",,,,
"D.R. Parsons",,,,
"David M. Davies",,,,
"David Michael",,,,
"Dennis Andrewartha",,,,
"Dennis V. Hunt",,,,
"Desi Latimer","Q76509587","2019 United Kingdom general election","Stroud","Brexit Party"
"Edward Noble",,,,
"Eric Barnett Ayliffe",,,,
"F W Davies",,,,
"G. Fallon",,,,
"Glenville Gogerly",,,,
"Iain P. Crawford",,,,
"J.S. Churchill",,,,
"James Heppell",,,,
"James Thomas Stanton",,,,
"Janice Beasley",,,,
"John Adams","Q75975916","2019 United Kingdom general election","North Shropshire","Green Party of England and Wales"
"John Marjoram",,,,
"John Norton",,,,
"John V. Smith",,,,
"Kevin Cranston",,,,
"Marcus Mereweather Turner",,,,
"Martin Whiteside",,,,
"Max Wilkinson","Q76738127","2019 United Kingdom general election","Cheltenham","Liberal Democrats"
"Myles P. Robinson",,,,
"Paul Hodgkinson",,,,
"Peter Hirst",,,,
"R. Derek Wheatley",,,,
"Richard W. Evely",,,,
"Richard Wilson",,,,
"S.A. Ritchie",,,,
"Samuel Baker",,,,
"Samuel Edward Walters",,,,
"Sarah Lunnon",,,,
"Steve Parker",,,,
"Sue M Atkinson",,,,
"W.H. Maddocks",,,,
"William Burton Stewart",,,,
"William Lascelles Wraxall",,,,
