foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q76363409,Siobhan Baillie,Q9626,Conservative Party (UK),31582,Q30173038,General election 2019,1
,Q728653,David Drew,Q6467393,Labour and Co-operative,27742,Q30173038,General election 2019,2
,Q6896677,Molly Scott Cato,Q9669,Green Party of England and Wales,4954,Q30173038,General election 2019,3
Q76509587,,Desi Latimer,Q61651140,Brexit Party,1085,Q30173038,General election 2019,4
Q76119848,,Glenville Gogerly,Q3997368,Libertarian Party (UK),567,Q30173038,General election 2019,5
,Q728653,David Drew,Q6467393,Labour and Co-operative,29994,Q25052149,General election 2017,1
,Q269260,Neil Carmichael,Q9626,Conservative Party (UK),29307,Q25052149,General election 2017,2
Q76738127,,Max Wilkinson,Q9624,Liberal Democrats (UK),2053,Q25052149,General election 2017,3
,,Sarah Lunnon,Q9669,Green Party of England and Wales,1423,Q25052149,General election 2017,4
Q76119848,,Glenville Gogerly,Q10647,UK Independence Party,1039,Q25052149,General election 2017,5
,Q269260,Neil Carmichael,Q9626,Conservative Party (UK),27813,Q3586935,General election 2015,1
,Q728653,David Drew,Q6467393,Labour and Co-operative,22947,Q3586935,General election 2015,2
,,Caroline Stephens,Q10647,UK Independence Party,4848,Q3586935,General election 2015,3
,,Sarah Lunnon,Q9669,Green Party of England and Wales,2779,Q3586935,General election 2015,4
,,Adrian Walker-Smith,Q9624,Liberal Democrats (UK),2086,Q3586935,General election 2015,5
,,Richard Wilson,Q327591,Independent politician,246,Q3586935,General election 2015,6
,,David Michael,Q98555021,Free Public Transport,100,Q3586935,General election 2015,7
,Q269260,Neil Carmichael,Q9626,Conservative Party (UK),23679,Q215622,General election 2010,1
,Q728653,David Drew,Q6467393,Labour and Co-operative,22380,Q215622,General election 2010,2
,,Dennis Andrewartha,Q9624,Liberal Democrats (UK),8955,Q215622,General election 2010,3
,,Martin Whiteside,Q9669,Green Party of England and Wales,1542,Q215622,General election 2010,4
,,Steve Parker,Q10647,UK Independence Party,1301,Q215622,General election 2010,5
,,Alan Lomas,Q327591,Independent politician,116,Q215622,General election 2010,6
,Q728653,David Drew,Q6467393,Labour and Co-operative,22527,Q428598,General election 2005,1
,Q269260,Neil Carmichael,Q9626,Conservative Party (UK),22177,Q428598,General election 2005,2
,,Peter Hirst,Q9624,Liberal Democrats (UK),8026,Q428598,General election 2005,3
,,Martin Whiteside,Q9669,Green Party of England and Wales,3056,Q428598,General election 2005,4
,,Edward Noble,Q10647,UK Independence Party,1089,Q428598,General election 2005,5
,Q728653,David Drew,Q6467393,Labour and Co-operative,25685,Q590740,General election 2001,1
,Q269260,Neil Carmichael,Q9626,Conservative Party (UK),20646,Q590740,General election 2001,2
,,Janice Beasley,Q9624,Liberal Democrats (UK),6036,Q590740,General election 2001,3
,,Kevin Cranston,Q9669,Green Party of England and Wales,1913,Q590740,General election 2001,4
,,Adrian Blake,Q10647,UK Independence Party,895,Q590740,General election 2001,5
,Q728653,David Drew,Q6467393,Labour and Co-operative,26170,Q918503,General election 1997,1
,Q7358482,Roger Knapman,Q9626,Conservative Party (UK),23260,Q918503,General election 1997,2
,,Paul Hodgkinson,Q9624,Liberal Democrats (UK),9502,Q918503,General election 1997,3
,,John Marjoram,Q9669,Green Party of England and Wales,2415,Q918503,General election 1997,4
,Q7358482,Roger Knapman,Q9626,Conservative Party (UK),32201,Q543609,General election 1992,1
,Q728653,David Drew,Q9630,Labour Party (UK),18796,Q543609,General election 1992,2
,,Myles P. Robinson,Q9624,Liberal Democrats (UK),16751,Q543609,General election 1992,3
,,Sue M Atkinson,Q9669,Green Party of England and Wales,2005,Q543609,General election 1992,4
,Q7358482,Roger Knapman,Q9626,Conservative Party (UK),32883,Q918472,General election 1987,1
,,Adrian Walker-Smith,Q622441,Liberal Party (UK),20508,Q918472,General election 1987,2
,Q7816576,Tom Levitt,Q9630,Labour Party (UK),12145,Q918472,General election 1987,3
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),30896,Q918466,General election 1983,1
,,G. Fallon,Q622441,Liberal Party (UK),19182,Q918466,General election 1983,2
,,D.R. Parsons,Q9630,Labour Party (UK),10141,Q918466,General election 1983,3
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),32534,Q918450,General election 1979,1
,,B.J. Marshall,Q9630,Labour Party (UK),17037,Q918450,General election 1979,2
,,James Heppell,Q622441,Liberal Party (UK),12314,Q918450,General election 1979,3
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),24406,Q918508,General election October 1974,1
,,W.H. Maddocks,Q9630,Labour Party (UK),17352,Q918508,General election October 1974,2
,,S.A. Ritchie,Q622441,Liberal Party (UK),13756,Q918508,General election October 1974,3
,,J.S. Churchill,Q7887704,United Democratic Party (UK),241,Q918508,General election October 1974,4
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),25619,Q119524,General election February 1974,1
,,W.H. Maddocks,Q9630,Labour Party (UK),17148,Q119524,General election February 1974,2
,,S.A. Ritchie,Q622441,Liberal Party (UK),15521,Q119524,General election February 1974,3
,,J.S. Churchill,Q98555022,Powell Conservative,470,Q119524,General election February 1974,4
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),27089,Q918442,General election 1970,1
,,R. Derek Wheatley,Q9630,Labour Party (UK),19158,Q918442,General election 1970,2
,,David M. Davies,Q622441,Liberal Party (UK),6799,Q918442,General election 1970,3
,Q573477,Anthony Kershaw,Q9626,Conservative Party (UK),21804,Q918430,General election 1966,1
